symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-07-01 21:49:00+00:00,217.03,217.03,217.03,217.03,254.0,23.0,217.03
AAPL,2024-07-01 21:50:00+00:00,217.01,217.01,217.01,217.01,437.0,20.0,217.01
AAPL,2024-07-01 21:51:00+00:00,217.03,217.03,217.03,217.03,377.0,24.0,217.03
AAPL,2024-07-01 21:53:00+00:00,217.07,217.07,217.07,217.07,206.0,16.0,217.07
AAPL,2024-07-01 21:54:00+00:00,217.07,217.07,217.07,217.07,1098.0,27.0,217.07
AAPL,2024-07-01 21:56:00+00:00,217.05,217.05,217.05,217.05,166.0,26.0,217.05
AAPL,2024-07-01 21:57:00+00:00,217.05,217.07,217.05,217.07,307.0,26.0,217.06
AAPL,2024-07-01 21:58:00+00:00,217.05,217.05,217.05,217.05,122.0,13.0,217.05
AAPL,2024-07-01 22:00:00+00:00,217.05,217.08,217.0329,217.08,1682.0,28.0,217.046341
AAPL,2024-07-01 22:01:00+00:00,217.08,217.08,217.08,217.08,427.0,13.0,217.08
AAPL,2024-07-01 22:02:00+00:00,217.05,217.0842,217.05,217.0842,1509.0,23.0,217.060232
AAPL,2024-07-01 22:03:00+00:00,217.08,217.08,217.08,217.08,1463.0,40.0,217.08
AAPL,2024-07-01 22:07:00+00:00,217.1,217.1,217.1,217.1,1040.0,12.0,217.1
AAPL,2024-07-01 22:08:00+00:00,217.08,217.08,217.08,217.08,318.0,23.0,217.08
AAPL,2024-07-01 22:09:00+00:00,217.05,217.05,217.05,217.05,205.0,13.0,217.05
AAPL,2024-07-01 22:10:00+00:00,217.05,217.05,217.05,217.05,636.0,19.0,217.05
